PlayerName,TeamID,PositionID
Florian Lejeune,15,2
Javier Manquillo,15,2
Chancel Mbemba,15,2
Matt Ritchie,15,3
Jonjo Shelvey,15,3
Mohamed Diamé,15,3
Christian Atsu,15,3
Jacob Murphy,15,3
Mikel Merino,15,2
Isaac Hayden,15,3
Sung-yueng Ki,15,3
Dwight Gayle,15,4
Ayoze Pérez,15,4
Jose Luis Mato Sanmartín,15,4
Robert Kenedy Nunes do Nascimento,15,3
Fabian Schär,15,2
Yoshinori Muto,15,4
Salomón Rondón,15,4
Federico Fernández,15,2
Jamie Sterry,15,2
Sean Longstaff,15,3
Frederick Woodman,15,1
Danny Ings,16,4
Alex McCarthy,16,1
Fraser Forster,16,1
Ryan Bertrand,16,2
Maya Yoshida,16,2
Cédric Soares,16,3
Jack Stephens,16,2
Sam McQueen,16,2
Jan Bednarek,16,2
Wesley Hoedt,16,2
Steven Davis,16,3
James Ward-Prowse,16,3
Oriol Romeu Vidal,16,3
Pierre-Emile Højbjerg,16,3
Sofiane Boufal,16,3
Joshua Sims,16,3
Nathan Redmond,16,3
Mario Lemina,16,3
Stuart Armstrong,16,3
Mohamed Elyounoussi,16,3
Shane Long,16,4
Charlie Austin,16,4
Manolo Gabbiadini,16,4
Guido Carrillo,16,4
Angus Gunn,16,1
Jannik Vestergaard,16,2
Matt Targett,16,2
Michael Obafemi,16,4
Yan Valery,16,2
Tyreke Johnson,16,2
Hugo Lloris,17,1
Michel Vorm,17,1
Toby Alderweireld,17,2
Danny Rose,17,2
Jan Vertonghen,17,2
Ben Davies,17,3
Kieran Trippier,17,2
Kyle Walker-Peters,17,2
Davinson Sánchez,17,2
Serge Aurier,17,2
Eric Dier,17,3
Mousa Dembélé,17,3
Erik Lamela,17,3
Christian Eriksen,17,3
Bamidele Alli,17,4
Victor Wanyama,17,3
Heung-Min Son,17,4
Harry Winks,17,3
Moussa Sissoko,17,3
Lucas Rodrigues Moura da Silva,17,4
Fernando Llorente,17,4
Harry Kane,17,4
Georges-Kévin Nkoudou,17,3
Luke Amos,17,3
Paulo Gazzaniga,17,1
Alfie Whiteman,17,1
Oliver Skipp,17,3
Juan Foyth,17,2
Timothy Eyoma,17,2
Heurelho Gomes,18,1
Pontus Dahlberg,18,1
Younes Kaboul,18,2
Craig Cathcart,18,2
Sebastian Prödl,18,2
José Holebas,18,2
Miguel Britos,18,2
Christian Kabasele,18,2
Daryl Janmaat,18,2
Adrian Mariappa,18,2
Francisco Femenía Far,18,2
Marvin Zeegelaar,18,2
Marc Navarro,18,2
Adam Masina,18,2
Nathaniel Chalobah,18,3
Tom Cleverley,18,3
Etienne Capoue,18,3
Abdoulaye Doucouré,18,3
Roberto Pereyra,18,3
Will Hughes,18,3
Gerard Deulofeu,18,3
Andre Gray,18,4
Troy Deeney,18,4
Stefano Okaka,18,4
Jerome Sinclair,18,4
Ben Foster,18,1
Ken Sema,18,3
Domingos Quina,18,3
Isaac Success Ajayi,18,3
Ben Wilmot,18,2
Adalberto Peñaranda,18,4
Adrián San Miguel del Castillo,19,1
Lukasz Fabianski,19,1
Winston Reid,19,2
Aaron Cresswell,19,2
Angelo Ogbonna,19,2
Sam Byram,19,2
Pablo Zabaleta,19,2
Declan Rice,19,3
Reece Oxford,19,2
Ryan Fredericks,19,2
Issa Diop,19,2
Arthur Masuaku,19,2
Mark Noble,19,3
Pedro Obiang,19,3
Manuel Lanzini,19,3
Michail Antonio,19,3
Edimilson Fernandes,19,3
Marko Arnautovic,19,4
Andy Carroll,19,4
Javier Hernández Balcázar,19,4
Jordan Hugill,19,4
Jack Wilshere,19,3
Andriy Yarmolenko,19,4
Fabián Balbuena,19,2
Felipe Anderson Pereira Gomes,19,3
Robert Snodgrass,19,3
Lucas Pérez,19,4
Carlos Sánchez,19,3
Grady Diangana,19,3
Joe Powell,19,3
Conor Coventry,19,3
Alexandre Nascimento Costa Silva,19,4
John Ruddy,20,1
Will Norris,20,1
Willy Boly,20,2
Barry Douglas,20,2
Matt Doherty,20,2
Romain Saïss,20,3
Ryan Bennett,20,2
Danny Batth,20,2
Roderick Jefferson Gonçalves Miranda,20,2
Conor Coady,20,2
Rúben Gonçalo Silva Nascimento Vinagre,20,2
Diogo Jota,20,3
Rúben Diogo da Silva Neves,20,3
Ivan Cavaleiro,20,4
Hélder Costa,20,4
Bright Enobakhare,20,4
Raúl Jiménez,20,4
Bonatini Lohner Maia Bonatini,20,4
Morgan Gibbs-White,20,3
Rafa Mir,20,4
Rui Pedro dos Santos Patrício,20,1
João Filipe Iria Santos Moutinho,20,3
Jonathan Castro Otto,20,2
Adama Traoré,20,4
Leander Dendoncker,20,3
Kortney Hause,20,2
Ryan John Giles,20,3
Bukayo Saka,1,3
Kayne Ramsay,16,3
Abd-Al-Ali Morakinyo Olaposi Koiki,4,2
